,Index,Language,Influenced By,Influenced,Year,Language
175,174,Euclid ,[Pascal],"[Mesa, Concurrent Euclid, Turing]",1970,Euclid (programming language)
63,62,BLISS,[ALGOL],,1970,BLISS
145,144,DIBOL,"[BASIC, Fortran, COBOL]",,1970,DIBOL
367,366,MDL ,[Lisp],"[ZIL, Planner, Scheme, Common Lisp, Java, Prolog, Smalltalk; actor model, interactive fiction]",1971,MDL (programming language)
54,53,Babbage ,,[BCPL],1971,Babbage (programming language)
357,356,Mary ,[ALGOL 68],,1971,Mary (programming language)
553,552,SAS ,,,1972,SAS (software)
501,500,Prolog,[Planner],"[CHR, Clojure, Datalog, Erlang, KL0, KL1, Logtalk, Mercury, Oz, Strand, Visual Prolog, XSB]",1972,Prolog
580,579,Smalltalk,"[Lisp, Simula, Euler, IMP, Planner, Logo, Sketchpad, ARPAnet, Burroughs B5000, Influenced, AppleScript, Common Lisp Object System, Dart, Dylan, Erlang, Etoys, Go, Groovy, Io, Ioke, Java, Lasso, Logtalk, Newspeak, NewtonScript, Object REXX, Objective-C, PHP 5, Python, Raku, Ruby, Scala, Scratch, Self, Swift]","[AppleScript, Common Lisp Object System, Dart, Dylan, Erlang, Etoys, Go, Groovy, Io, Ioke, Java, Lasso, Logtalk, Newspeak, NewtonScript, Object REXX, Objective-C, PHP 5, Python, Raku, Ruby, Scala, Scratch, Self, Swift]",1972,Smalltalk
554,553,SASL ,[ISWIM],"[KRC, Miranda, Haskell]",1972,SASL (programming language)
69,68,C ,"[B, ALGOL 68, assembly, PL/I, FORTRAN]","[AMPL, AWK, csh, C++, C--, C#, Objective-C, D, Go, Java, JavaScript, JS++, Julia, Limbo, LPC, Perl, PHP, Pike, Processing, Python, Rust, Seed7, Vala, Verilog, Nim, Zig]",1972,C (programming language)
541,540,RTL/2,[ALGOL 68],,1972,RTL/2
474,473,Programming Language for Business,[COBOL],,1972,Programming Language for Business
477,476,PL/M,"[ALGOL, PL/I, XPL]",,1973,PL/M
379,378,ML ,[ISWIM],"[Clojure, Coq, Cyclone, C++, Elm, F#, F*, Haskell, Idris, Kotlin, Miranda, Nemerle, OCaml, Opa, Erlang, Rust, Scala, Standard ML]",1973,ML (programming language)
595,594,SP/k,"[PL/I, Influenced, Turing]",[Turing],1974,SP/k
597,596,SQL,"[Datalog, Influenced, CQL, LINQ, SPARQL, SOQL, PowerShell, JPQL, jOOQ, N1QL]","[CQL, LINQ, SPARQL, SOQL, PowerShell, JPQL, jOOQ, N1QL]",1974,SQL
162,161,ELAN ,[ALGOL 68],,1974,ELAN (programming language)
562,561,sed,[ed],"[Perl, AWK]",1974,sed
413,412,Nord Programming Language,,,1974,Nord Programming Language
383,382,Modula,[Pascal],"[Alma-0, Go, Modula-2]",1975,Modula
558,557,Scheme ,"[ALGOL, Lisp, MDL]","[Clojure, Common Lisp, Dylan, EuLisp, Haskell, Hop, JavaScript, Julia, Lua, MultiLisp, Python, R, Racket, Ruby, Rust, S, Scala, T]",1975,Scheme (programming language)
102,101,CLU ,"[ALGOL 60, Lisp, Simula, Alphard]","[Ada, Argus, C++, Lua, Python, Ruby, Sather, Swift]",1975,CLU (programming language)
59,58,bc ,,,1975,bc (programming language)
109,108,COMAL,"[BASIC, Pascal]",,1975,COMAL
528,527,Ratfor,"[Fortran, C]",,1976,Ratfor
487,486,Plus ,"[SUE, Pascal]",,1976,Plus (programming language)
369,368,Mesa ,[ALGOL],"[Java, Modula-2, Cedar, PostScript]",1976,Mesa (programming language)
544,543,S ,"[C, APL, PPL, Fortran]",,1976,S (programming language)
302,301,KRL ,,[KM],1976,KRL (programming language)
340,339,Lucid ,[ISWIM],"[SISAL, PureData, Lustre]",1976,Lucid (programming language)
691,690,Lisp Machine Lisp,"[Lisp, Maclisp, Interlisp]",[Common Lisp],1976,Lisp Machine Lisp
527,526,Ratfor,"[Fortran, C]",,1976,Ratfor
264,263,IDL ,,,1977,IDL (programming language)
207,206,FP ,[APL],"[FL, Haskell]",1977,FP (programming language)
643,642,UCSD Pascal,,,1977,UCSD Pascal
346,345,m4 ,,,1977,m4 (computer language)
189,188,FP ,[APL],"[FL, Haskell]",1977,FP (programming language)
259,258,Icon ,"[SNOBOL, SL5, ALGOL]","[Unicon, Python, Goaldi]",1977,Icon (programming language)
51,50,AWK,"[C, sed, SNOBOL]","[Tcl, AMPL, Perl, Korn Shell, Lua]",1977,AWK
624,623,TeX,,,1978,TeX
76,75,C shell,,,1978,C shell
384,383,Modula-2,"[Modula, Mesa, Pascal, ALGOL W, Euclid]","[Modula-3, Oberon, Ada, Fortran 90, Lua, Seed7, Zonnon, Modula-GM]",1978,Modula-2
117,116,Control Language,"[Job Control Language, PL/I]",[Windows PowerShell],1978,Control Language
