,Index,Language,Influenced By,Influenced,Year,Language
582,581,Strongtalk,"[Smalltalk, Self, Influenced, Java HotSpot]",[Java HotSpot],2002,Strongtalk
131,130,Cyclone ,[C],"[Rust, Project Verona]",2002,Cyclone (programming language)
418,417,NWScript,"[C, Java]",,2002,NWScript
186,185,Factor ,"[Joy, Forth, Lisp, Self]",,2003,Factor (programming language)
556,555,Sawzall ,,,2003,Sawzall (programming language)
399,398,Nemerle,"[C#, Lisp, ML]",,2003,Nemerle
36,35,AngelScript,[C++],,2003,AngelScript
560,559,Scratch ,"[Logo, Smalltalk, HyperCard, StarLogo, AgentSheets, AgentCubes, Etoys]","[Catrobat,
ScratchJr, Snap!, mBlock, Turtlestitch]",2003,Scratch (programming language)
412,411,Nix ,,,2003,Nix (package manager)
93,92,ChucK,,,2003,ChucK
513,512,Q,"[A+, APL, Scheme, k]",,2003,Q (programming language from Kx Systems)
237,236,Apache Groovy,"[Java, Python, Ruby, Smalltalk]",[Kotlin],2003,Apache Groovy
225,224,Go! ,[Prolog],,2003,Go! (programming language)
336,335,Second Life,,,2003,Second Life
47,46,AutoHotkey,,,2003,AutoHotkey
600,599,Squirrel ,"[C++, JavaScript, Lua, Python, Influenced, MiniD]",[MiniD],2003,Squirrel (programming language)
66,65,Boo ,"[C#, Python]","[Genie, Vala]",2003,Boo (programming language)
329,328,Little b ,[Lisp],,2004,Little b (programming language)
157,156,eC ,"[C, C++, Python]",,2004,eC (programming language)
167,166,Epigram ,[ALF],"[Agda, Idris]",2004,Epigram (programming language)
168,167,Easy Programming Language,,,2004,Easy Programming Language
1,0,A Sharp,,,2004,A Sharp (.NET)
667,666,X10 ,"[C++, Java]",,2004,X10 (programming language)
557,556,Scala ,"[Common Lisp, Eiffel, Erlang, F#, Haskell, Java, OCaml, Oz, Pizza, Scheme, Smalltalk, Standard ML]","[Ceylon, Chisel, Fantom, F#, C#, Kotlin, Lasso, Red, Flix]",2004,Scala (programming language)
444,443,Orc ,"[Haskell, ML, Oz, Smalltalk, Pict]",,2004,Orc (programming language)
511,510,PWCT,,,2005,PWCT
563,562,Seed7,"[Pascal, Modula-2, Ada, ALGOL 68, C, C++, Java]",,2005,Seed7
251,250,TempleOS,,,2005,TempleOS
486,485,PLEXIL,,,2005,PLEXIL
246,245,Haxe,"[EcmaScript, OCaml, Java, JavaScript, C++, PHP, C#, Python, Lua, ActionScript, NekoVM]",,2005,Haxe
190,189,fish ,,,2005,fish (Unix shell)
184,183,F Sharp ,"[C#, Erlang, Haskell, ML, OCaml, Python, Scala]","[C#, Elm, F*, LiveScript]",2005,F Sharp (programming language)
398,397,NekoVM,,,2005,NekoVM
187,186,Fantom ,"[C#, Java, Scala, Ruby, Erlang]",,2005,Fantom (programming language)
448,447,Oxygene ,"[Delphi's Object Pascal, C#]",,2005,Oxygene (programming language)
649,648,Vala ,"[C, C++, C#, D, Java, Boo]",,2006,Vala (programming language)
106,105,Cobra ,"[Python, Eiffel, C#, Objective-C]",,2006,Cobra (programming language)
206,205,Fortress ,"[Fortran, Scala, Haskell]",,2006,Fortress (programming language)
443,442,OptimJ,[Java],,2006,OptimJ
406,405,Newspeak ,"[Smalltalk, Self, BETA, E, Nineteen Eighty-Four]",,2006,Newspeak (programming language)
252,251,Hop ,[Scheme],,2006,Hop (software)
31,30,AmbientTalk,"[Smalltalk, Self, Scheme, E, ABCL]",[ECMAScript Harmony],2006,AmbientTalk
495,494,PowerShell,"[Python, Ksh, Perl, C#, CL, DCL, SQL, Tcl, Tk, Chef, Puppet]",,2006,PowerShell
613,612,Swift,"[C syntax, functional programming]",[Cuneiform],2007,Swift (parallel scripting language)
679,678,XQuery,"[XPath, SQL, XSLT]",,2007,XQuery
327,326,Lite-C,,,2007,Lite-C
236,235,Grasshopper 3D,,,2007,Grasshopper 3D
182,181,Ezhil ,"[Logo, BASIC, Python]",,2007,Ezhil (programming language)
133,132,Cython,"[C, Python]",,2007,Cython
101,100,Clojure,"[C#, C++, Common Lisp, Erlang, Haskell, Java, ML, Prolog, Racket, Ruby, Scheme, Wolfram Language]","[Elixir, Hy, LFE, Pixie, Rhine]",2007,Clojure
417,416,Nu ,"[Lisp, Objective-C, Ruby]",,2007,Nu (programming language)
265,264,Idris ,"[Agda, Clean, Coq, Epigram, F#, Haskell, ML, Rust]",,2007,Idris (programming language)
18,17,Agda ,"[Coq, Epigram, Haskell]",[Idris],2007,Agda (programming language)
520,519,.QL,[Datalog],,2007,.QL
43,42,Arc ,"[Lisp, Scheme]",,2008,Arc (programming language)
218,217,Genie ,"[Python, Boo, D, Object Pascal]",,2008,Genie (programming language)
37,36,Apache Pig,,,2008,Apache Pig
644,643,Umple,"[Java, C++, UML, Ruby, PHP]",,2008,Umple
67,66,Boomerang ,[OCaml],[XSLT],2008,Boomerang (programming language)
411,410,Nim ,"[Ada, Modula-3, Lisp, C++, Object Pascal, Python, Oberon, Rust]",,2008,Nim (programming language)
457,456,PCASTL,"[C, R]",,2008,PCASTL
508,507,Pure ,"[Q, Haskell, Lisp, Alice, MATLAB]",,2008,Pure (programming language)
463,462,Pharo,[Smalltalk],,2008,Pharo
107,106,CoffeeScript,"[Haskell, JavaScript, Perl, Python, Ruby, YAML]","[MoonScript, LiveScript, JavaScript]",2009,CoffeeScript
230,229,Google Apps Script,,,2009,Google Apps Script
306,305,Kodu Game Lab,,,2009,Kodu Game Lab
224,223,Go ,"[C, Oberon-2, Limbo, Active Oberon, communicating sequential processes, Pascal, Oberon, Smalltalk, Newsqueak, Modula-2, Alef, APL, BCPL, Modula, occam]","[Odin, Crystal, Zig]",2009,Go (programming language)
211,210,F-Script ,"[Smalltalk, APL]",,2009,F-Script (programming language)
453,452,ParaSail ,"[Modula, Ada, Pascal, ML]",[Nim],2009,ParaSail (programming language)
438,437,OpenCL,,,2009,OpenCL
89,88,Chapel ,"[Ada, C#, C, Fortran, C++, Java, HPF, ZPL]",,2009,Chapel (programming language)
52,51,Axum ,,,2009,Axum (programming language)
543,542,Rust ,"[Alef, C#, C++, Cyclone, Erlang, Haskell, Limbo, Newsqueak, OCaml, Ruby, Scheme, Standard ML, Swift]","[Idris, Spark, Swift, Project Verona, Zig]",2010,Rust (programming language)
40,39,App Inventor for Android,,,2010,App Inventor for Android
299,298,Kojo,"[Logo, Processing]",,2010,Kojo (learning environment)
79,78,Catrobat,[Scratch ],,2010,Catrobat
662,661,Whiley ,"[Java, C, Python, Rust]",,2010,Whiley (programming language)
136,135,Dart ,"[C, C++, C#, Erlang, Java, JavaScript, Ruby, Smalltalk, Strongtalk, TypeScript]",,2011,Dart (programming language)
683,682,Xtend,"[Java, Scala, Groovy, Smalltalk, Xpand]",,2011,Xtend
85,84,Ceylon ,"[Java, Scala, Smalltalk, ML, Lisp, Whiley]",,2011,Ceylon (programming language)
532,531,Red ,"[Rebol, Scala, Lua]",,2011,Red (programming language)
338,337,LiveScript ,"[JavaScript, Haskell, CoffeeScript, F#]",,2011,LiveScript (programming language)
583,582,Snap! ,"[Scratch, Scheme, Logo, Smalltalk, Influenced, BeetleBlocks, NetsBlox, Dragme IDE, Turtlestitch]","[BeetleBlocks, NetsBlox, Dragme IDE, Turtlestitch]",2011,Snap! (programming language)
300,299,Kotlin ,[C#EiffelGosuGroovyJavaJavaScriptMLPythonScala],,2011,Kotlin (programming language)
435,434,Opa ,"[OCaml, Erlang, JavaScript]",,2011,Opa (programming language)
307,306,Kivy ,,,2011,Kivy (framework)
163,162,Elixir ,"[Clojure, Erlang, Ruby]",[LFE],2012,Elixir (programming language)
164,163,Elm ,"[Haskell, Standard ML, OCaml, F#]","[Redux, Vue]",2012,Elm (programming language)
290,289,Julia ,"[C, Dylan, Lisp, Lua, Wolfram Language, MATLAB, Perl, Python, R, Ruby, Scheme]",,2012,Julia (programming language)
450,449,P ,,,2012,P (programming language)
347,346,M Sharp,,,2012,M Sharp
228,227,Golo ,,,2012,Golo (programming language)
64,63,Blockly,,,2012,Blockly
515,514,Qalb ,[Scheme],,2012,Qalb (programming language)
241,240,Halide ,,,2012,Halide (programming language)
640,639,TypeScript,"[C#, Java, JavaScript, ActionScript]","[AtScript, AssemblyScript]",2012,TypeScript
510,509,PureScript,"[Haskell, JavaScript]",,2013,PureScript
451,450,P4 ,,,2013,P4 (programming language)
257,256,Hy,"[Kawa, Clojure, Common Lisp]",,2013,Hy
693,692,Zonnon,"[Oberon, Pascal]",,2013,Zonnon
127,126,Cuneiform ,[Swift],,2013,Cuneiform (programming language)
314,313,Lean ,[MLCoqHaskell],,2013,Lean (proof assistant)
125,124,Crystal ,"[Ruby, C, Rust, Go, C#, Python]",,2014,Crystal (programming language)
238,237,Hack ,"[PHP, OCaml, Java, C#, Scala, Haskell]",,2014,Hack (programming language)
210,209,Futhark ,"[APL, Haskell, NESL, Standard ML]",,2014,Futhark (programming language)
612,611,Swift ,"[Objective-C, Rust, Haskell, Ruby, Python, C#, CLU, D]",[Rust],2014,Swift (programming language)
217,216,Godot ,,,2014,Godot (game engine)
524,523,Raku ,"[Perl, Ruby, Smalltalk, Haskell, JavaScript","[Perl, Haskell, AntLang]",2015,Raku (programming language)
567,566,Ethereum,,,2015,Ethereum
651,650,Ethereum,,,2015,Ethereum
394,393,Ethereum,,,2015,Ethereum
330,329,Ethereum,,,2015,Ethereum
692,691,Zig ,"[C, C++, LLVM IR, Go, Rust, JavaScript]",,2016,Zig (programming language)
676,675,XOD ,,,2016,XOD (programming language)
530,529,Reason ,,,2016,Reason (programming language)
536,535,Ring ,"[Lua, Python, Ruby, C, C#, BASIC, QML, xBase, Supernova]","[SimpleLang, DragonLang ]",2016,Ring (programming language)
514,513,Q Sharp,"[C#, F#, Python]",,2017,Q Sharp
590,589,Source ,"[JavaScript, Scheme]",,2017,Source (programming language)
55,54,Ballerina ,"[Java, Javascript, Go, Rust, C#]",,2017,Ballerina (programming language)
660,659,WebAssembly,[asm.jsPNaCl],,2017,WebAssembly
68,67,Bosque ,"[JavaScript, TypeScript, ML]",,2019,Bosque (programming language)
500,499,Project Verona,"[Rust, Cyclone, Pony]",,2019,Project Verona
372,371,Microsoft Power Fx,"[Excel functions, Excel macros, Pascal, Mathematica, Miranda]",,2021,Microsoft Power Fx
0,,Language,Influenced By,Influenced,Year,Language
2,1,A-0 System,,,,A-0 System
4,3,A++,,,,A++
7,6,ABC ALGOL,,,,ABC ALGOL
8,7,ACC ,,,,ACC (programming language)
10,9,Distributed Application Specification Language,,,,Distributed Application Specification Language
13,12,Actor ,,,,Actor (programming language)
15,14,ISO/IEC 8652,,,,ISO/IEC 8652
16,15,Haystack ,,,,Haystack (MIT project)
17,16,AdvPL,[xBase],,,AdvPL
19,18,Keysight VEE,,,,Keysight VEE
20,19,Agora ,,,,Agora (programming language)
21,20,AIMMS,,,,AIMMS
24,23,Algebraic Logic Functional programming language,,,,Algebraic Logic Functional programming language
32,31,Amiga E,,,,Amiga E
38,37,Salesforce,,,,Salesforce
44,43,ARexx,,,,ARexx
45,44,Argus ,,,,Argus (programming language)
50,49,Averest,,,,Averest
58,57,Batch file,,,,Batch file
62,61,BETA ,[Simula],,,BETA (programming language)
65,64,BlooP and FlooP,,,,BlooP and FlooP
74,73,C/AL,[Pascal],,,C/AL
78,77,Carbon ,"[C++, Rust]",,,Carbon (programming language)
80,79,Lennart Augustsson,,,,Lennart Augustsson
81,80,CDuce,,,,CDuce
83,82,CESIL,,,,CESIL
84,83,Céu ,,,,Céu (programming language)
87,86,Cg ,[C],[GLSL],,Cg (programming language)
92,91,CHIP-8,,,,CHIP-8
100,99,CLIST,,,,CLIST
105,104,CobolScript,,,,CobolScript
111,110,Common Intermediate Language,,,,Common Intermediate Language
113,112,COMPASS,,,,COMPASS
124,123,Cryptol,,,,Cryptol
129,128,Curry ,[Haskell and Prolog],,,Curry (programming language)
130,129,Cybil ,,,,Cybil (programming language)
132,131,Cypher ,,,,Cypher (query language)
134,133,CEEMAC,,,,CEEMAC
138,137,DataFlex,,,,DataFlex
140,139,DATATRIEVE,,,,DATATRIEVE
142,141,dc ,,,,dc (computer program)
143,142,DIGITAL Command Language,,[Windows PowerShell],,DIGITAL Command Language
144,143,Delphi ,,,,Delphi (software)
146,145,Dink Smallwood,,,,Dink Smallwood
147,146,Sepandar Kamvar,,,,Sepandar Kamvar
151,150,DYNAMO ,,,,DYNAMO (programming language)
152,151,Data Analysis Expressions,,,,Data Analysis Expressions
156,155,Easytrieve,,,,Easytrieve
160,159,EGL ,,,,EGL (programming language)
173,172,Esterel,,,,Esterel
178,177,EusLisp Robot Programming Language,,,,EusLisp Robot Programming Language
179,178,CMS EXEC,,,,CMS EXEC
180,179,EXEC 2,,,,EXEC 2
181,180,Executable UML,,,,Executable UML
183,182,F ,[Fortran 95],,,F (programming language)
185,184,F* ,"[Coq, Dafny, F#, Lean, OCaml, Standard ML]",,,F* (programming language)
193,192,FlagShip,,,,FlagShip
194,193,Flavors ,,,,Flavors (programming language)
195,194,Flex ,,,,Flex (programming language)
196,195,Flix ,"[F#, Go, Haskell, OCaml, Scala]",,,Flix (programming language)
197,196,BlooP and FlooP,,,,BlooP and FlooP
200,199,FOCUS,,,,FOCUS
201,200,FOIL ,,,,FOIL (programming language)
202,201,FORMAC,,,,FORMAC
203,202,Formula language,,,,Formula language
208,207,FoxPro,,,,FoxPro
213,212,GameMonkey Script,,,,GameMonkey Script
214,213,General algebraic modeling system,,,,General algebraic modeling system
215,214,GAP ,,,,GAP (computer algebra system)
219,218,Geometric Description Language,,,,Geometric Description Language
220,219,GEORGE ,,,,GEORGE (programming language)
221,220,OpenGL Shading Language,,,,OpenGL Shading Language
231,230,Gosu ,"[Java, C#]",[Kotlin],,Gosu (programming language)
232,231,IBM 1620,,,,IBM 1620
233,232,GPSS,,,,GPSS
234,233,Computer Sciences Corporation,,,,Computer Sciences Corporation
235,234,GRASS ,,,,GRASS (programming language)
239,238,Haggis ,,,,Haggis (programming language)
240,239,HAL/S,,,,HAL/S
247,246,Hermes ,,,,Hermes (programming language)
248,247,High Level Assembly,,,,High Level Assembly
249,248,High-Level Shader Language,,,,High-Level Shader Language
253,252,Hopscotch ,,,,Hopscotch (programming language)
254,253,Hope ,,,,Hope (programming language)
255,254,Hume ,,,,Hume (programming language)
260,259,IBM Basic Assembly Language and successors,,,,IBM Basic Assembly Language and successors
261,260,IBM HAScript,,,,IBM HAScript
266,265,Inform,,,,Inform
267,266,ISLISP,"[Common Lisp, EuLisp, Le Lisp, Scheme]",,,ISLISP
270,269,Visual J++,,,,Visual J++
271,270,JADE ,,,,JADE (programming language)
272,271,Jonathan Blow,,,,Jonathan Blow
273,272,JAL ,,,,JAL (compiler)
276,275,Warcraft III: Reign of Chaos,,,,Warcraft III: Reign of Chaos
278,277,JavaFX Script,,,,JavaFX Script
280,279,Jess ,,,,Jess (programming language)
281,280,Job Control Language,,,,Job Control Language
282,281,JEAN,,,,JEAN
289,288,JScript .NET,"[JScript, ECMAScript]",,,JScript .NET
293,292,Kaleidoscope ,,,,Kaleidoscope (programming language)
295,294,IntelliCorp ,,,,IntelliCorp (software)
297,296,Klerer–May System,,,,Klerer–May System
298,297,Knowledge Interchange Format,,,,Knowledge Interchange Format
303,302,KUKA Robot Language,[Pascal],,,KUKA Robot Language
304,303,KL-ONE,,,,KL-ONE
309,308,Ladder logic,,,,Ladder logic
310,309,LANSA ,,,,LANSA (development environment)
312,311,Lava ,,,,Lava (programming language)
313,312,Little Computer 3,,,,Little Computer 3
315,314,Lego Mindstorms,,,,Lego Mindstorms
316,315,Little Implementation Language,,,,Little Implementation Language
319,318,Limnor,,,,Limnor
320,319,LINC 4GL,,,,LINC 4GL
321,320,Lingo ,,,,Lingo (programming language)
322,321,Language Integrated Query,"[SQL, Haskell]",,,Language Integrated Query
323,322,LIS ,,,,LIS (programming language)
328,327,Lithe,,,,Lithe
333,332,LotusScript,,,,LotusScript
334,333,LPMud,,,,LPMud
335,334,LSE ,,,,LSE (programming language)
341,340,Lustre ,,,,Lustre (programming language)
343,342,Lynx ,,,,Lynx (programming language)
344,343,Power Query,,,,Power Query
345,344,M2001,,,,M2001
348,347,Machine code,,,,Machine code
351,350,Magik ,,,,Magik (programming language)
352,351,Magma ,,,,Magma (computer algebra system)
353,352,Máni,,,,Máni
355,354,MAPPER,,,,MAPPER
356,355,MARK IV ,,,,MARK IV (software)
361,360,Maude system,,,,Maude system
363,362,Macsyma,,,,Macsyma
364,363,Max ,,,,Max (software)
366,365,Maya Embedded Language,,,,Maya Embedded Language
370,369,MHEG-5,,,,MHEG-5
371,370,Microassembler,,,,Microassembler
373,372,MIIS ,,,,MIIS (programming language)
374,373,Milk ,,,,Milk (programming language)
375,374,MIMIC,,,,MIMIC
376,375,Mirah ,"[Ruby, Java, Boo]",,,Mirah (programming language)
380,379,Model 204,,,,Model 204
386,385,System programming language,,,,System programming language
387,386,MOO,,,,MOO
388,387,Mortran,,,,Mortran
389,388,Mouse ,,,,Mouse (programming language)
390,389,MPD ,,,,MPD (programming language)
393,392,MuPAD,,,,MuPAD
395,394,Mystic BBS,,,,Mystic BBS
401,400,Net.Data,,,,Net.Data
405,404,NEWP,"[ALGOL, Executive Systems Problem Oriented Language]",,,NEWP
409,408,Keith Packard,,,,Keith Packard
410,409,Keith Packard,,,,Keith Packard
414,413,Not eXactly C,,,,Not eXactly C
415,414,Not Quite C,,,,Not Quite C
419,418,Lego Mindstorms NXT,,,,Lego Mindstorms NXT
420,419,o:XML,,,,o:XML
421,420,Oak ,,,,Oak (programming language)
423,422,OBJ ,,,,OBJ (programming language)
424,423,Object Lisp,,,,Object Lisp
432,431,occam-π,[occam],,,occam-π
434,433,OmniMark,,,,OmniMark
436,435,Opal ,,,,Opal (programming language)
439,438,OpenEdge Advanced Business Language,,,,OpenEdge Advanced Business Language
440,439,OpenVera,,,,OpenVera
441,440,OpenQASM,,,,OpenQASM
442,441,OPS5,,,,OPS5
454,453,PARI/GP,,,,PARI/GP
458,457,Programming Computable Functions,,,,Programming Computable Functions
459,458,PEARL ,,,,PEARL (programming language)
460,459,PeopleCode,,,,PeopleCode
467,466,Pict ,[ML],"[Orc, Nomadic Pict]",,Pict (programming language)
468,467,MUD,,,,MUD
469,468,PILOT,,,,PILOT
471,470,Pizza ,[Java],"[Generic Java, Scala]",,Pizza (programming language)
472,471,PL-11,,,,PL-11
473,472,PL/0,,,,PL/0
478,477,PL/P,,,,PL/P
479,478,IBM PL/S,,,,IBM PL/S
480,479,PL/SQL,,,,PL/SQL
482,481,PLANC,[Nord Programming Language],,,PLANC
488,487,POP-11,,,,POP-11
489,488,POP-2,,,,POP-2
491,490,Amiga E,,,,Amiga E
493,492,PowerHouse ,,,,PowerHouse (programming language)
496,495,Polymorphic Programming Language,,,,Polymorphic Programming Language
503,502,Promela,,,,Promela
504,503,PROSE modeling language,,,,PROSE modeling language
505,504,Protel,,,,Protel
507,506,Pro*C,,,,Pro*C
509,508,Pure Data,,,,Pure Data
516,515,Quantum Computation Language,,,,Quantum Computation Language
517,516,QtScript,,,,QtScript
519,518,Quantum programming,,,,Quantum programming
522,521,R++,,,,R++
533,532,Core War,,,,Core War
537,536,ROOP ,,,,ROOP (programming language)
540,539,Robot Battle,,,,Robot Battle
545,544,LiveJournal,,,,LiveJournal
546,545,S3 ,[ALGOL 68],,,S3 (programming language)
547,546,S-Lang,,,,S-Lang
548,547,S-PLUS,,,,S-PLUS
549,548,SA-C ,,,,SA-C (programming language)
550,549,SabreTalk,,,,SabreTalk
551,550,SAIL ,,,,SAIL (programming language)
552,551,SAKO ,,,,SAKO (programming language)
559,558,Scilab,,,,Scilab
561,560,Script.NET,[JavaScript],,,Script.NET
571,570,SIGNAL ,,,,SIGNAL (programming language)
572,571,SiMPLE,,,,SiMPLE
573,572,SIMSCRIPT,,,,SIMSCRIPT
575,574,Simulink,,,,Simulink
578,577,SLIP ,,,,SLIP (programming language)
585,584,SPITBOL,,,,SPITBOL
586,585,Snowball ,,,,Snowball (programming language)
587,586,Secure Operations Language,,,,Secure Operations Language
588,587,Solidity,"[JavaScript, C++, Python]",,,Solidity
589,588,SOPHAEROS,,,,SOPHAEROS
591,590,SPARK ,"[Ada, Eiffel]",,,SPARK (programming language)
592,591,Speakeasy       ,,,,Speakeasy (computational environment)
594,593,Parallax Propeller,,,,Parallax Propeller
596,595,IBM 1401 Symbolic Programming System,,,,IBM 1401 Symbolic Programming System
598,597,SQR,,,,SQR
601,600,SR ,,,,SR (programming language)
602,601,S/SL programming language,,,,S/SL programming language
604,603,Strand ,,,,Strand (programming language)
606,605,Stateflow,,,,Stateflow
607,606,Subtext ,,,,Subtext (programming language)
611,610,SuperTalk,,,,SuperTalk
614,613,SYMPL,,,,SYMPL
616,615,TACL,,,,TACL
617,616,TACPOL ,,,,TACPOL (programming language)
619,618,Transaction Application Language,,,,Transaction Application Language
625,624,Text Executive Programming Language,,,,Text Executive Programming Language
626,625,Tensilica Instruction Extension,,,,Tensilica Instruction Extension
628,627,Tom ,,,,Tom (pattern matching language)
629,628,Toi ,,,,Toi (programming language)
631,630,DEC Text Processing Utility,,,,DEC Text Processing Utility
634,633,Transact-SQL,,,,Transact-SQL
636,635,TTCN,,,,TTCN
639,638,TXL ,,,,TXL (programming language)
641,640,Tynker,,,,Tynker
642,641,Ubercode,,,,Ubercode
645,644,Unicon ,[Icon],,,Unicon (programming language)
646,645,Uniface ,,,,Uniface (programming language)
647,646,UNITY ,,,,UNITY (programming language)
648,647,Unreal Engine,,,,Unreal Engine
652,651,DataFlex,,,,DataFlex
653,652,Visual DialogScript,,,,Visual DialogScript
654,653,Visual FoxPro,,,,Visual FoxPro
655,654,Visual J++,,,,Visual J++
657,656,Visual Objects,,,,Visual Objects
658,657,Visual Prolog,,,,Visual Prolog
659,658,WATFIV,,,,WATFIV
661,660,WebDNA,,,,WebDNA
663,662,Winbatch,,,,List of programming languages by type
665,664,Wyvern ,,,,Wyvern (programming language)
666,665,Microsoft Dynamics AX,,,,Microsoft Dynamics AX
668,667,XBase++,,,,XBase++
669,668,XBL,,,,XBL
670,669,XMOS,,,,XMOS
671,670,XMOS,,,,XMOS
672,671,xHarbour,,,,xHarbour
673,672,Christophe de Dinechin,,,,Christophe de Dinechin
674,673,Xojo,,,,Xojo
677,676,XPL,,,,XPL
678,677,XPL0,,,,XPL0
680,679,XSB,"[Prolog, PSB-Prolog, SB-Prolog]",,,XSB
681,680,XSharp,,,,XSharp
685,684,Yahoo! Query Language,,,,Yahoo! Query Language
687,686,Z notation,,,,Z notation
689,688,Zebra Programming Language,[ANSI BASIC],,,Zebra Programming Language
690,689,Zeno ,,,,Zeno (programming language)
694,693,ZOPL,,,,ZOPL
696,695,Z++,,,,Z++
