,Language,Influenced By,Influenced,Year
259,Caché ObjectScript,[MUMPS],,1997.0
260,C--,"[C, Lua]",,1997.0
261,Modelica,,,1997.0
262,Tea,"[Tcl, Java, Scheme]",,1997.0
263,Rebol,"[Self, Forth, Lisp, Logo]",[Red],1997.0
264,Pico,[Scheme],,1997.0
266,LISA,,,1997.0
267,ECMAScript,"[Self, HyperTalk, AWK, C, CoffeeScript, Perl, Python, Java, Scheme]",,1997.0
271,Malbolge,,,1998.0
270,ActionScript,"[JavaScript, Java, HyperTalk]","[Haxe, TypeScript]",1998.0
268,XSLT,,,1998.0
272,Curl,"[JavaScript, Lisp]",,1998.0
269,Logtalk,"[Prolog, Smalltalk, Objective-C]",,1998.0
277,AutoIt,[BASIC],,1999.0
276,GameMaker,,,1999.0
275,BeanShell,"[Java, JavaScript, Perl]",,1999.0
273,Harbour,"[dBase, Clipper]",[xHarbour],1999.0
274,NetLogo,"[Logo, StarLogo]",,1999.0
284,Join Java,[Java],,2000.0
283,Alice,"[ML, Oz]",,2000.0
282,Nullsoft Scriptable Install System,,,2000.0
281,Yoix,"[C, Java, PostScript]",,2000.0
279,C Sharp,"[C++, Eiffel, Haskell, Icon, Java, ML, Modula-3, Object Pascal]","[Chapel, Clojure, Crystal, D, Dart, Hack, Java, Kotlin, Nemerle, Oxygene, Rust, Swift, Vala, TypeScript]",2000.0
278,XOTcl,[Tcl],,2000.0
280,Pascal Script,"[Pascal, Object Pascal]",,2000.0
285,D,"[C, C++, Eiffel, Java, Python, Ada, Ruby, C Sharp]","[Genie, Swift, Vala, Go, Python]",2001.0
286,LiveCode,,,2001.0
287,Ch,,,2001.0
289,Game Oriented Assembly Lisp,"[Lisp, Scheme]",,2001.0
290,Jython,,,2001.0
291,Processing,,,2001.0
292,Joy,"[Scheme, FP, Forth]",[Factor],2001.0
294,StarLogo,"[Logo, NetLogo, Etoys]","[NetLogo, Etoys, Scratch]",2001.0
300,Cyclone,"[C, ML]","[Rust, Project Verona]",2002.0
299,Strongtalk,"[Smalltalk, Self]",,2002.0
298,FAUST,,,2002.0
301,NWScript,"[C, Java]",,2002.0
296,Io,"[Smalltalk, NewtonScript, Self, Lua, Lisp, Python]",,2002.0
295,Visual J Sharp,,,2002.0
297,Hollywood,,,2002.0
310,Apache Groovy,"[Java, Python, Ruby, Smalltalk]","[Kotlin, Python]",2003.0
592,Pict,[ML],[Orc],2003.0
315,Boo,[Python],"[Genie, Vala, Python, Mirah]",2003.0
314,Squirrel,"[C++, JavaScript, Lua, Python]",,2003.0
313,AutoHotkey,,,2003.0
312,Second Life,,,2003.0
311,Go!,[Prolog],,2003.0
309,Q,"[A+, APL, Scheme, K]",,2003.0
302,Factor,"[Joy, Forth, Lisp, Self]",,2003.0
307,Nix,,,2003.0
308,ChucK,,,2003.0
595,Pizza,[Java],[Scala],2003.0
303,Sawzall,,,2003.0
494,Gosu,[Java],[Kotlin],2003.0
305,AngelScript,[C++],,2003.0
306,Scratch,"[Logo, Smalltalk, StarLogo, Etoys, Squeak]","[Snap!, Smalltalk, Squeak]",2003.0
304,Nemerle,"[Lisp, ML, C Sharp]",,2003.0
316,Little b,[Lisp],,2004.0
317,eC,"[C, C++, Python]",,2004.0
318,Epigram,,"[Agda, Idris]",2004.0
319,Easy Programming Language,,,2004.0
320,A Sharp,,,2004.0
321,X10,"[C++, Java]",,2004.0
322,Scala,"[Common Lisp, Eiffel, Erlang, Haskell, Java, OCaml, Oz, Pizza, Scheme, Smalltalk, Standard ML, Lisp, ML]","[Ceylon, Fantom, Kotlin, Lasso, Red, Flix, Smalltalk, Standard ML, F Sharp, Fortress, Xtend, Hack]",2004.0
323,Orc,"[Haskell, ML, Oz, Smalltalk, Pict]",,2004.0
333,Oxygene,,,2005.0
332,Fantom,"[Java, Scala, Ruby, Erlang]",,2005.0
331,NekoVM,,,2005.0
330,F Sharp,"[Erlang, Haskell, ML, OCaml, Python, Scala]","[Elm, F*, LiveScript]",2005.0
329,fish,,,2005.0
327,PLEXIL,,,2005.0
325,Seed7,"[Pascal, Modula-2, Ada, ALGOL 68, C, C++, Java]",,2005.0
324,PWCT,,,2005.0
328,Haxe,"[OCaml, Java, JavaScript, C++, PHP, Python, Lua, ActionScript, NekoVM]",,2005.0
326,TempleOS,,,2005.0
334,Vala,"[C, C++, D, Java, Boo, C Sharp]",,2006.0
335,Cobra,"[Python, Eiffel, Objective-C]",,2006.0
336,Fortress,"[Fortran, Scala, Haskell]",,2006.0
337,OptimJ,[Java],,2006.0
338,Newspeak,"[Smalltalk, Self, BETA, E]",,2006.0
339,Hop,[Scheme],,2006.0
340,AmbientTalk,"[Smalltalk, Self, Scheme, E]",,2006.0
341,PowerShell,"[Python, Perl, SQL, Tcl]",,2006.0
342,Swift,,"[Cuneiform, Smalltalk, Python, Rust]",2007.0
343,XQuery,"[SQL, XSLT]",,2007.0
344,Lite-C,,,2007.0
349,Nu,"[Lisp, Objective-C, Ruby]",,2007.0
346,Ezhil,"[Logo, BASIC, Python]",,2007.0
352,.QL,[Datalog],,2007.0
351,Agda,"[Coq, Epigram, Haskell]",[Idris],2007.0
350,Idris,"[Agda, Clean, Coq, Epigram, Haskell, ML, Rust]",,2007.0
345,Grasshopper 3D,,,2007.0
347,Cython,"[C, Python]",,2007.0
348,Clojure,"[C++, Common Lisp, Erlang, Haskell, Java, ML, Prolog, Racket, Ruby, Scheme, Wolfram Language, C Sharp]","[Elixir, Hy]",2007.0
353,Arc,"[Lisp, Scheme]",,2008.0
354,Genie,"[Python, Boo, D, Object Pascal]",,2008.0
355,Apache Pig,,,2008.0
356,Umple,"[Java, C++, Ruby, PHP]",,2008.0
357,Boomerang,[OCaml],[XSLT],2008.0
358,Nim,"[Ada, Modula-3, Lisp, C++, Object Pascal, Python, Oberon, Rust, C, ParaSail]",,2008.0
359,PCASTL,"[C, R]",,2008.0
360,Pure,"[Q, Haskell, Lisp, Alice, MATLAB]",,2008.0
361,Pharo,[Smalltalk],,2008.0
368,OpenCL,,,2009.0
370,Axum,,,2009.0
369,Chapel,"[Ada, C, Fortran, C++, Java, ZPL, C Sharp]",,2009.0
366,F-Script,"[Smalltalk, APL]",,2009.0
365,Go,"[C, Limbo, Pascal, Oberon, Smalltalk, Modula-2, Alef, APL, BCPL, Modula, occam, Erlang, Python, D]","[Crystal, Zig, Smalltalk, Python, Ballerina, Flix]",2009.0
367,ParaSail,"[Modula, Ada, Pascal, ML]",[Nim],2009.0
364,Kodu Game Lab,,,2009.0
363,Google Apps Script,,,2009.0
362,CoffeeScript,"[Haskell, JavaScript, Perl, Python, Ruby]","[LiveScript, JavaScript, Python, ECMAScript]",2009.0
371,Rust,"[Alef, C++, Cyclone, Erlang, Haskell, Limbo, OCaml, Ruby, Scheme, Standard ML, Swift, C, ML, Modula-3, C Sharp]","[Idris, Swift, Project Verona, Zig, Standard ML, Nim, Whiley, Crystal, Ballerina, Carbon]",2010.0
372,App Inventor for Android,,,2010.0
373,Kojo,"[Logo, Processing]",,2010.0
374,Catrobat,,,2010.0
375,Whiley,"[Java, C, Python, Rust]",,2010.0
383,Opa,"[OCaml, Erlang, JavaScript, ML]",,2011.0
382,Kotlin,,,2011.0
381,Snap!,"[Scratch, Scheme, Logo, Smalltalk]",,2011.0
380,LiveScript,"[JavaScript, Haskell, CoffeeScript, F Sharp]",,2011.0
379,Red,"[Rebol, Scala, Lua]",,2011.0
378,Ceylon,"[Java, Scala, Smalltalk, ML, Lisp, Whiley]",,2011.0
376,Dart,"[C, C++, Erlang, Java, JavaScript, Ruby, Smalltalk, Strongtalk, TypeScript, C Sharp]",,2011.0
384,Kivy,,,2011.0
377,Xtend,"[Java, Scala, Smalltalk]",,2011.0
388,P,,,2012.0
389,M Sharp,,,2012.0
387,Julia,"[C, Dylan, Lisp, Lua, Wolfram Language, MATLAB, Perl, Python, R, Ruby, Scheme, Common Lisp]",,2012.0
392,Qalb,[Scheme],,2012.0
390,Golo,,,2012.0
393,Halide,,,2012.0
391,Blockly,,,2012.0
394,TypeScript,"[Java, JavaScript, ActionScript, C Sharp]",,2012.0
385,Elixir,"[Clojure, Erlang, Ruby, Lisp]",,2012.0
386,Elm,"[Haskell, Standard ML, OCaml, ML, F Sharp]",,2012.0
400,Lean,,,2013.0
395,PureScript,"[Haskell, JavaScript]",,2013.0
396,P4,,,2013.0
397,Hy,"[Clojure, Common Lisp]",,2013.0
398,Zonnon,"[Oberon, Pascal, Modula-2]",,2013.0
399,Cuneiform,[Swift],,2013.0
401,Crystal,"[Ruby, C, Rust, Go, Python, C Sharp]",,2014.0
405,Godot,,,2014.0
404,Swift,"[Objective-C, Rust, Haskell, Ruby, Python, CLU, D]",[Rust],2014.0
403,Futhark,"[APL, Haskell, NESL, Standard ML]",,2014.0
402,Hack,"[PHP, OCaml, Java, Scala, Haskell, C Sharp]",,2014.0
406,Raku,"[Perl, Ruby, Smalltalk, Haskell, JavaScript]","[Perl, Haskell, Smalltalk]",2015.0
407,Ethereum,,,2015.0
414,Ring,"[Lua, Python, Ruby, C, BASIC]",,2016.0
413,Reason,,,2016.0
412,XOD,,,2016.0
411,Zig,"[C, C++, Go, Rust, JavaScript]",,2016.0
418,WebAssembly,,,2017.0
417,Ballerina,"[Java, Go, Rust]",,2017.0
416,Source,"[JavaScript, Scheme]",,2017.0
415,Q Sharp,[Python],,2017.0
420,Project Verona,"[Rust, Cyclone]",,2019.0
419,Bosque,"[JavaScript, TypeScript, ML]",,2019.0
421,Microsoft Power Fx,"[Pascal, Miranda]",,2021.0
477,F*,"[Coq, Lean, OCaml, Standard ML, ML, F Sharp]",,2024.0
449,Cg,[C],,2024.0
444,Carbon,"[C++, Rust]",,2024.0
443,C/AL,"[Pascal, Object Pascal]",,2024.0
688,XSB,[Prolog],,2024.0
441,BETA,[Simula],,2024.0
510,ISLISP,"[Common Lisp, Scheme]",,2024.0
639,SPARK,"[Ada, Eiffel]",,2024.0
525,KUKA Robot Language,[Pascal],,2024.0
664,Unicon,[Icon],,2024.0
536,Language Integrated Query,"[SQL, Haskell]",,2024.0
601,PLANC,[Nord Programming Language],,2024.0
581,occam-π,[occam],,2024.0
620,S3,[ALGOL 68],,2024.0
571,NEWP,[Executive Systems Problem Oriented Language],,2024.0
628,Script.NET,[JavaScript],,2024.0
561,Mirah,"[Ruby, Java, Boo]",,2024.0
637,Solidity,"[JavaScript, C++, Python]",,2024.0
520,JScript .NET,"[JScript, ECMAScript]",,2024.0
481,Flix,"[Go, Haskell, OCaml, Scala]",,2024.0
