,Language,Influenced By,Influenced,Year
622,S-PLUS,,,1.0
621,S-Lang,,,1.0
619,LiveJournal,,,1.0
618,Robot Battle,,,1.0
617,ROOP,,,1.0
616,Core War,,,1.0
615,R++,,,1.0
614,Quantum programming,,,1.0
613,QtScript,,,1.0
612,Quantum Computation Language,,,1.0
611,Pure Data,,,1.0
610,Pro*C,,,1.0
609,Protel,,,1.0
608,PROSE modeling language,,,1.0
607,Promela,,,1.0
606,Polymorphic Programming Language,,,1.0
605,PowerHouse,,,1.0
603,POP-2,,,1.0
602,POP-11,,,1.0
600,PL/SQL,,,1.0
599,IBM PL/S,,,1.0
598,PL/P,,,1.0
597,PL/0,,,1.0
596,PL-11,,,1.0
594,PILOT,,,1.0
591,PeopleCode,,,1.0
694,ZOPL,,,1.0
0,Assembly language,,,1947.0
1,Plankalkül,,"[Superplan, ALGOL 58]",1948.0
2,Short Code,,,1950.0
3,G-code,,,1950.0
4,Superplan,[Plankalkül],[ALGOL 58],1951.0
5,Speedcoding,"[Assembly language, Fortran, ALGOL 58, BASIC, C, PL/I, MUMPS, Ratfor]","[Fortran, ALGOL 58, BASIC, C, PL/I, MUMPS, Ratfor]",1953.0
6,FLOW-MATIC,,"[MATH-MATIC, COBOL, COMTRAN]",1955.0
7,APT,,,1956.0
8,MATH-MATIC,[FLOW-MATIC],,1957.0
9,COMIT,,[SNOBOL],1957.0
10,COMTRAN,[FLOW-MATIC],[COBOL],1957.0
11,Fortran,[Speedcoding],"[ALGOL 58, BASIC, C, Chapel, CMS-2, Fortress, PL/I, MUMPS, IDL, Ratfor, Speedcoding, CORAL, DIBOL, S, SISAL]",1957.0
12,Lisp,,"[CLIPS, CLU, COWSEL, Dylan, Elixir, Forth, Haskell, Io, JavaScript, Julia, Logo, Lua, ML, Nim, Nu, OPS5, Perl, Python, R, Rebol, Ruby, Scala, Swift, Smalltalk, Tcl, Wolfram Language, MDL, Scheme, Lisp Machine Lisp, Franz Lisp, Nial, Common Lisp, RPL, AutoLISP, Erlang, C*, Oz, GNU Guile, Claire, Java, Squeak, Curl, Game Oriented Assembly Lisp, Factor, Nemerle, Little b, Arc, Pure, Ceylon]",1958.0
13,ALGOL 58,"[Plankalkül, Superplan, Speedcoding, Fortran]",,1958.0
14,MAD,[ALGOL 58],,1959.0
15,COBOL,"[COMTRAN, FLOW-MATIC, C++, Eiffel, Smalltalk]","[CobolScript, EGL, PL/I, Language H, DIBOL, Programming Language for Business, CHILL, ABAP]",1959.0
16,IBM RPG,,,1959.0
20,JOVIAL,,"[CMS-2, SYMPL, CORAL]",1960.0
21,ALGOL 60,[ALGOL 58],"[Simula, CPL, Pascal, Ada, C, PL/I, BASIC, Euler, Edinburgh IMP, Executive Systems Problem Oriented Language, ALGOL W, ALGOL 68, SETL, CLU, Napier88]",1960.0
22,Language H,[COBOL],,1962.0
